,race_location,gpxfile
0,Yateley 10K Series,Yateley_10k_Race3_5th_chicked_.gpx
1,Stubbington Green 10K,Stubbington_Green_10K.gpx
2,Darlington 10K,Darlington_10K_PB_.gpx
3,Beverley 10K,Hull_10k_loved_it_stuggled_with_breathing_but_my_faithful_running_buddy_got_me_round_thank_u_Julie.gpx
4,McCain Yorkshire Coast 10K,Morning_Run (1).gpx
5,Market Drayton 10K,Lunch_Run.gpx
6,Percy Pud 10K,Morning_Run.gpx
7,Asda Foundation York 10K,asdayork.gpx
8,Telford 10K,telford10k.gpx
9,Liverpool Spring 10K,Liverpool_Spring_10k.gpx
10,Sunderland City 10K,Sunderland_10k.gpx
11,Run Norwich 10K,Run_Norwich_10k_WIN_.gpx
12,Paisley 10K,Paisley_10k.gpx
13,We Love Manchester 10K,Manchester_10k.gpx
14,Asda Foundation Leeds 10K,Leeds_10k_12th_and_35_39_Pleased_with_the_place_but_not_the_time_.gpx
15,Regent's Park Summer 10K Series,Regents_Park_Summer_Series_10k.gpx
16,Birchwood 10K,Birchwood_10k_.gpx
17,"Vitality London 10,000",Vitality_London_10_000.gpx
18,Great Grimsby 10K,Grimsby_10K_2nd_place_.gpx
19,QEOP Winter 10K Series,Queen_Elizabeth_Olympic_Park_10k.gpx
20,Gainsborough & Morton Striders 10K,gainsboro.gpx
21,Hatfield Broad Oak 10K,Hatfield_Broad_Oak_10K_6th_1216_1st_MV40_Happy_with_this_.gpx
22,Southend 10K Classic,Southend_10k_Classic_bit_of_a_headwind_in_every_direction.gpx
23,Askern 10K,Askern_10k.gpx
24,Polaroid Dumbarton 10K,Babcock_Series_Dumbarton_10K.gpx
25,Bognor Prom 10K,Bognor_10k_First_6k_were_great_last_4k_were_pathetic_.gpx
26,Wymondham AC New Year's Day 10K,Wym_10k_32_58_Always_the_Bridesmaid.gpx
27,Walkington 10K,Walkington_10k_32_45_Chip_32_46_Gun_1st_place_.gpx
28,Givaudan Ashford 10K,ashford.gpx
29,Cleethorpes New Year's Day 10K,Cleethorpes_AC_NYD_10k_2015.gpx
30,Standalone 10K,Standalone_10km_PB_.gpx
31,Oxford Town & Gown 10K,Oxford_Town_Gown_10K.gpx
32,Fleet Peter Driver Memorial 10K,Fleet_10k_36_59_PB_1st_V60.gpx
33,Ipswich Building Society Twilight 10K,Twilight_10k_22nd_Pos_4th_M40_.gpx
34,Edinburgh Marathon Festival 10K,Edinburgh_Marathon_Festival_10k.gpx
35,Woodbridge 10K,Woodbridge_10k_38_44_27th_Course_PB_MV40_4th_.gpx
36,Durham City 10K,City_of_Durham_10k.gpx
37,Troon Tortoises 10K,Troon_10k_2018.gpx
38,Ribble Valley 10K,Ribble_valley_10k.gpx
39,Royal Berkshire 10K,Green_Park_Royal_Berkshire_10k.gpx
40,Ivybridge 10K,Ivybridge_10k_PB.gpx
41,Grand East Anglia Run 10K,GEAR_10k_.gpx
42,City of Aberdeen Baker Hughes 10K,Baker_Hughes_10k_10th_Vet.gpx
43,Dudley Kingswinford 10K,DK10K_2018_PB_.gpx
44,Cambridge Town & Gown 10K,Town_Gown_10th_and_1st_Vet.gpx
45,East Midlands Grand Prix Silverstone 10K,Silverstone_10k.gpx
46,Elmbridge 10K,Elmbridge_10k_P_B_by_27_secs_38_39_.gpx
47,Whitstable 10K,Whitstable_10k.gpx
48,Bournemouth Marathon Festival 10K,guess_which_way_the_wind_was_blowing_.gpx
49,Gloucester 10K,Glos_10k_ouch_.gpx
50,Coventry Northbrook 10K,Northbrook_10k.gpx
51,Asda Foundation Nottingham 10K,Nottingham_10k_on_for_a_pb_until_headwind_destroyed_me_.gpx
52,Bank of Scotland Great Scottish 10K,GSR_10K_properly_pleased_48_secs_removed_from_PB_in_warm_up_for_Oxford_more_to_come_.gpx
